pais_id;nom_pais;ano;mes;uni_moneda;nom_moneda;precio_inferior;precio_promedio_ponderado;precio_superior;primer_quartil;segundo_quartil;tercer_quartil;cuarto_quartil;total_paquetes
32;Argentina;2005;Enero;ARS;Pesos;1,2;3,15;3,8;10648850;4260;40726854;93885204;145265168
32;Argentina;2005;Febrero;ARS;Pesos;1,2;3,12;3,8;10317536;9860;40085806;95317691;145730893
32;Argentina;2005;Marzo;ARS;Pesos;1,3;3,15;3,8;13530447;6960;44944567;107349569;165831543
32;Argentina;2005;Abril;ARS;Pesos;1,3;3,14;4;13046533;3530;60760927;73222666;147033656
32;Argentina;2005;Mayo;ARS;Pesos;1,3;3,14;4;12901453;3750;60043786;71539068;144488057
32;Argentina;2005;Junio;ARS;Pesos;1,3;3,12;4;14474534;4950;59242979;72364216;146086679
32;Argentina;2005;Julio;ARS;Pesos;1,3;3,12;4;14989820;53250;57155475;70798010;142996555
32;Argentina;2005;Agosto;ARS;Pesos;1,3;3,12;4;16063574;1500;60533207;76826078;153424359
32;Argentina;2005;Septiembre;ARS;Pesos;1;3,11;4;15939139;1671598;40058621;96341533;154010891
32;Argentina;2005;Octubre;ARS;Pesos;1;3,05;4;13145859;12200026;36269786;92140368;153756039
32;Argentina;2005;Noviembre;ARS;Pesos;1;2,99;4;10538783;23597757;35449056;92143513;161729109
32;Argentina;2005;Diciembre;ARS;Pesos;1,2;2,98;4;29524661;12183840;58199034;84016412;183923947
32;Argentina;2006;Enero;ARS;Pesos;1,2;2,93;4;29129399;12861778;51007045;69417326;162415548
32;Argentina;2006;Febrero;ARS;Pesos;1,2;2,84;4;25229013;29220791;45953660;57225000;157628464
32;Argentina;2006;Marzo;ARS;Pesos;1;2,77;4;8569115;66494454;45835457;57140143;178039169
32;Argentina;2006;Abril;ARS;Pesos;1;2,77;4;5716732;59328306;43706758;46357890;155109686
32;Argentina;2006;Mayo;ARS;Pesos;1;2,75;4;7480859;62434046;44676725;46787453;161379083
32;Argentina;2006;Junio;ARS;Pesos;1;2,76;4;7581800;65845020;46277326;49382602;169086748
32;Argentina;2006;Julio;ARS;Pesos;1;2,77;4;3901766;63853375;43379142;45285048;156419331
32;Argentina;2006;Agosto;ARS;Pesos;1;2,82;4;7270190;53727638;56187500;50877095;168062423
