nombre;cantidad;anio
Maria; 314;1922
Juan Carlos;  69;1922
Miguel Angel;  25;1922
Valentina;  11;1922
Juan Manuel;  10;1922
Benjamin;   9;1922
Agustin;   8;1922
Agustin;   3;1922
Juan Domingo;   2;1922
Juan Pablo;   1;1922
Maria;   1;1922
Maria; 351;1923
Juan Carlos;  80;1923
Miguel Angel;  30;1923
Agustin;  18;1923
Juan Manuel;  13;1923
Benjamin;   8;1923
Valentina;   7;1923
Juan Pablo;   4;1923
Maria;   3;1923
Juan Domingo;   1;1923
Cristian;   1;1923
Maria; 416;1924
Juan Carlos; 128;1924
Miguel Angel;  30;1924
Agustin;  29;1924
Benjamin;  18;1924
Juan Manuel;  17;1924
Juan Pablo;  11;1924
Valentina;   7;1924
Juan Domingo;   5;1924
Maria;   1;1924
Maria; 496;1925
Juan Carlos; 154;1925
Miguel Angel;  53;1925
Agustin;  26;1925
Valentina;  18;1925
Juan Manuel;  17;1925
Benjamin;  13;1925
Juan Pablo;   5;1925
Maria;   3;1925
Juan Domingo;   2;1925
Norma Beatriz;   2;1925
Maria; 575;1926
Juan Carlos; 234;1926
Miguel Angel;  64;1926
Agustin;  31;1926
Valentina;  27;1926
Juan Manuel;  23;1926
Juan Pablo;  16;1926
Benjamin;  15;1926
Norma Beatriz;  12;1926
Juan Domingo;   7;1926
Maria;   3;1926
Juan Carlos;   2;1926
Maria; 623;1927
Juan Carlos; 332;1927
Miguel Angel; 114;1927
Valentina;  51;1927
Agustin;  48;1927
Juan Manuel;  24;1927
Benjamin;  18;1927
Juan Domingo;  11;1927
Juan Pablo;  10;1927
Maria;   2;1927
Juan Carlos;   1;1927
Cristian;   1;1927
Valentina;   1;1927
Maria; 764;1928
Juan Carlos; 362;1928
Miguel Angel; 121;1928
Agustin;  43;1928
Juan Manuel;  37;1928
Benjamin;  27;1928
Valentina;  22;1928
Juan Pablo;  17;1928
Norma Beatriz;  10;1928
Juan Domingo;   8;1928
Maria;   7;1928
Valentina;   1;1928
Diego Armando;   1;1928
Juan Carlos;   1;1928
Maria; 753;1929
Juan Carlos; 472;1929
Miguel Angel; 140;1929
Agustin;  59;1929
Juan Manuel;  47;1929
Valentina;  37;1929
Benjamin;  20;1929
Juan Pablo;  17;1929
Norma Beatriz;  15;1929
Juan Domingo;   9;1929
Juan Carlos;   2;1929
Maria;   2;1929
Benjamin;   1;1929
Maria; 858;1930
Juan Carlos; 522;1930
Miguel Angel; 164;1930
Agustin;  73;1930
Juan Manuel;  48;1930
Benjamin;  46;1930
Valentina;  37;1930
Juan Pablo;  26;1930
Norma Beatriz;  24;1930
Juan Domingo;   9;1930
Maria;   5;1930
Diego Armando;   1;1930
Juan Manuel;   1;1930
Cristian;   1;1930
Maria; 831;1931
Juan Carlos; 683;1931
Miguel Angel; 240;1931
Juan Manuel;  49;1931
Juan Pablo;  34;1931
Norma Beatriz;  30;1931
Benjamin;  29;1931
Valentina;  29;1931
Juan Domingo;   7;1931
Juan Carlos;   3;1931
Cristian;   3;1931
Maria;   3;1931
Benjamin;   1;1931
Maria; 836;1932
Juan Carlos; 831;1932
Miguel Angel; 261;1932
Juan Manuel;  80;1932
Valentina;  49;1932
Benjamin;  44;1932
Norma Beatriz;  43;1932
Juan Pablo;  28;1932
Juan Domingo;  18;1932
Maria;   2;1932
Agustin;   2;1932
Cristian;   1;1932
Miguel Angel;   1;1932
Juan Carlos;1074;1933
Maria; 842;1933
Miguel Angel; 310;1933
Agustin;  87;1933
Juan Manuel;  69;1933
Benjamin;  52;1933
Norma Beatriz;  49;1933
Valentina;  41;1933
Juan Pablo;  36;1933
Juan Domingo;  12;1933
Cristian;   5;1933
Maria;   2;1933
Agustin;   1;1933
Juan Manuel;   1;1933
Juan Carlos;1181;1934
Maria; 900;1934
Miguel Angel; 393;1934
Agustin;  81;1934
Juan Manuel;  81;1934
Norma Beatriz;  58;1934
Valentina;  55;1934
Benjamin;  44;1934
Juan Pablo;  41;1934
Juan Domingo;  21;1934
Juan Carlos;   6;1934
Maria;   4;1934
Benjamin;   1;1934
Cristian;   1;1934
Norma Beatriz;   1;1934
Juan Carlos;1398;1935
Maria; 841;1935
Miguel Angel; 474;1935
Juan Manuel; 113;1935
Agustin; 107;1935
Norma Beatriz;  83;1935
Valentina;  69;1935
Juan Pablo;  60;1935
Benjamin;  51;1935
Juan Domingo;  17;1935
Maria;   2;1935
Juan Carlos;   1;1935
Norma Beatriz;   1;1935
Benjamin;   1;1935
Juan Carlos;1619;1936
Miguel Angel; 549;1936
Agustin; 125;1936
Juan Manuel; 111;1936
Norma Beatriz;  97;1936
Benjamin;  67;1936
Valentina;  67;1936
Juan Pablo;  39;1936
Juan Domingo;  11;1936
Maria;   8;1936
Cristian;   1;1936
Diego Armando;   1;1936
Juan Carlos;   1;1936
Juan Carlos;1821;1937
Maria; 899;1937
Miguel Angel; 694;1937
Agustin; 120;1937
Juan Manuel;  95;1937
